t,mode,battery_lvl,eclipse
0.0,SUN_POINTING,39.7,True
1.0,SUN_POINTING,39.4,True
2.0,SUN_POINTING,39.1,True
3.0,SUN_POINTING,38.8,True
4.0,SUN_POINTING,38.5,True
5.0,SUN_POINTING,38.2,True
6.0,SUN_POINTING,37.9,True
7.0,SUN_POINTING,37.6,True
8.0,SUN_POINTING,37.3,True
9.0,SUN_POINTING,37.0,True
10.0,SUN_POINTING,36.7,True
11.0,SUN_POINTING,36.4,True
12.0,SUN_POINTING,36.1,True
13.0,SUN_POINTING,35.8,True
14.0,SUN_POINTING,35.5,True
15.0,SUN_POINTING,35.2,True
16.0,SUN_POINTING,34.9,True
17.0,SUN_POINTING,34.6,True
18.0,SUN_POINTING,34.3,True
19.0,SUN_POINTING,34.0,True
20.0,SUN_POINTING,33.7,True
21.0,SUN_POINTING,33.4,True
22.0,SUN_POINTING,33.1,True
23.0,SUN_POINTING,32.8,True
24.0,SUN_POINTING,32.5,True
25.0,SUN_POINTING,32.2,True
26.0,SUN_POINTING,31.9,True
27.0,SUN_POINTING,31.6,True
28.0,SUN_POINTING,31.3,True
29.0,SUN_POINTING,31.0,True
30.0,SUN_POINTING,30.7,True
31.0,SUN_POINTING,30.4,True
32.0,SUN_POINTING,30.9,False
33.0,SUN_POINTING,31.4,False
34.0,SUN_POINTING,31.9,False
35.0,SUN_POINTING,32.4,False
36.0,SUN_POINTING,32.9,False
37.0,SUN_POINTING,33.4,False
38.0,SUN_POINTING,33.9,False
39.0,SUN_POINTING,34.4,False
40.0,SUN_POINTING,34.9,False
41.0,SUN_POINTING,35.4,False
42.0,SUN_POINTING,35.9,False
43.0,SUN_POINTING,36.4,False
44.0,SUN_POINTING,36.9,False
45.0,SUN_POINTING,37.4,False
46.0,SUN_POINTING,37.9,False
47.0,SUN_POINTING,38.4,False
48.0,SUN_POINTING,38.9,False
49.0,SUN_POINTING,39.4,False
50.0,SUN_POINTING,39.9,False
51.0,SUN_POINTING,40.4,False
52.0,SUN_POINTING,40.9,False
53.0,SUN_POINTING,41.4,False
54.0,SUN_POINTING,41.9,False
55.0,SUN_POINTING,42.4,False
56.0,SUN_POINTING,42.9,False
57.0,SUN_POINTING,43.4,False
58.0,SUN_POINTING,43.9,False
59.0,SUN_POINTING,44.4,False
60.0,SUN_POINTING,44.9,False
61.0,SUN_POINTING,45.4,False
62.0,SUN_POINTING,45.9,False
63.0,SUN_POINTING,46.4,False
64.0,SUN_POINTING,46.9,False
65.0,SUN_POINTING,47.4,False
66.0,SUN_POINTING,47.9,False
67.0,SUN_POINTING,48.4,False
68.0,SUN_POINTING,48.9,False
69.0,SUN_POINTING,49.4,False
70.0,SUN_POINTING,49.9,False
71.0,SUN_POINTING,50.4,False
72.0,SUN_POINTING,50.9,False
73.0,SUN_POINTING,51.4,False
74.0,SUN_POINTING,51.9,False
75.0,SUN_POINTING,52.4,False
76.0,SUN_POINTING,52.9,False
77.0,SUN_POINTING,53.4,False
78.0,SUN_POINTING,53.9,False
79.0,SUN_POINTING,54.4,False
80.0,SUN_POINTING,54.9,False
81.0,SUN_POINTING,55.4,False
82.0,SUN_POINTING,55.9,False
83.0,SUN_POINTING,56.4,False
84.0,SUN_POINTING,56.9,False
85.0,SUN_POINTING,57.4,False
86.0,SUN_POINTING,57.9,False
87.0,SUN_POINTING,58.4,False
88.0,SUN_POINTING,58.9,False
89.0,SUN_POINTING,59.4,False
90.0,SUN_POINTING,59.1,True
91.0,SUN_POINTING,58.8,True
